"BBRefName","BBRefLink","BBRefID","BBRefBirthDate"
"Dāvis Bertāns","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/bertada01.html","bertada01",1992-11-12
"Dairis Bertāns","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/bertada02.html","bertada02",1989-09-09
"Travis Best","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/besttr01.html","besttr01",1972-07-12
"Patrick Beverley","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/beverpa01.html","beverpa01",1988-07-12
"Saddiq Bey","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/beysa01.html","beysa01",1999-04-09
"Tyler Bey","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/beyty01.html","beyty01",1998-02-10
"Sim Bhullar","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/bhullsi01.html","bhullsi01",1992-12-02
"Mike Bibby","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/bibbymi01.html","bibbymi01",1978-05-13
"Andris Biedriņš","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/biedran01.html","biedran01",1986-04-02
"Chauncey Billups","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/billuch01.html","billuch01",1976-09-25
"Khem Birch","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/birchkh01.html","birchkh01",1992-09-28
"Jabari Bird","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/birdja01.html","birdja01",1994-07-03
"Larry Bird","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/birdla01.html","birdla01",1956-12-07
"Goga Bitadze","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/bitadgo01.html","bitadgo01",1999-07-20
"Bismack Biyombo","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/biyombi01.html","biyombi01",1992-08-28
"Nemanja Bjelica","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/bjeline01.html","bjeline01",1988-05-09
"Uwe Blab","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/blabuw01.html","blabuw01",1962-03-26
"Alex Blackwell","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/blackal01.html","blackal01",1970-06-27
"James Blackwell","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/blackja01.html","blackja01",1968-02-25
"Rolando Blackman","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/blackro01.html","blackro01",1959-02-26
"Tarik Black","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/blackta01.html","blackta01",1991-11-22
"DeJuan Blair","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/blairde01.html","blairde01",1989-04-22
"Antonio Blakeney","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/blakean01.html","blakean01",1996-10-04
"Steve Blake","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/blakest01.html","blakest01",1980-02-26
"Will Blalock","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/blalowi01.html","blalowi01",1983-09-08
